Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,8,2182786,"NEW YORK, NY",SMB,517106,447561,87,53,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,464954,464473,100,55,283,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,348626,256465,74,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,290889,209483,72,60,2,10,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,15,491224,"RALEIGH, NC",SNM,209406,209356,100,63,559,0,N
MORGAN STANLEY BK NA,MORGAN STANLEY,18,1456501,"SALT LAKE CITY, UT",NAT,202537,202537,100,66,0,0,N
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,197215,197215,100,67,0,0,N
KEYBANK NA,KEYCORP,20,280110,"CLEVELAND, OH",NAT,192783,192780,100,68,984,0,N
ALLY BK,ALLY FNCL,22,3284070,"SANDY, UT",SMB,187350,187350,100,70,0,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,23,1394676,"SANDY, UT",NAT,172352,172352,100,71,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,165205,165205,100,71,21,3,Y
NORTHERN TC,NORTHERN TR CORP,25,210434,"CHICAGO, IL",SMB,157816,117481,74,72,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,135650,135650,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,118719,118719,100,74,436,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,102247,102235,100,74,437,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,94596,94596,100,75,69,0,N
COMERICA BK,COMERICA,31,60143,"DALLAS, TX",SMB,90864,90407,99,75,409,1,N
ZIONS BC NA,,32,276579,"SALT LAKE CITY, UT",NAT,87230,87230,100,76,429,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,33,485559,"MEMPHIS, TN",SMB,84851,84851,100,76,418,0,N
WEBSTER BK NA,WEBSTER FNCL CORP,34,761806,"STAMFORD, CT",NAT,73977,73977,100,76,200,0,N
EAST WEST BK,EAST WEST BC,35,197478,"PASADENA, CA",SMB,68509,65637,96,77,101,1,N
WESTERN ALLI BK,WESTERN ALLI BC,36,3138146,"PHOENIX, AZ",SMB,68082,68082,100,77,38,0,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,61701,61701,100,77,232,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,60548,60548,100,78,244,0,N
UMPQUA BK,COLUMBIA BKG SYS,39,143662,"LAKE OSWEGO, OR",SNM,53580,53580,100,78,298,0,N
CIBC BK USA,CIBC BC USA,40,1842065,"CHICAGO, IL",SNM,51474,51474,100,78,23,0,N
BOKF NA,BOK FC,41,339858,"TULSA, OK",NAT,48942,48942,100,78,111,0,N
CADENCE BK,,42,606046,"TUPELO, MS",SNM,48839,48839,100,79,416,0,N
FROST BK,CULLEN/FROST BKR,43,682563,"SAN ANTONIO, TX",SMB,48652,48652,100,79,189,0,N
OLD NB,OLD NAT BC,44,208244,"EVANSVILLE, IN",NAT,48207,48200,100,79,262,0,Y
PINNACLE BK,PINNACLE FNCL PTNR,45,2925666,"NASHVILLE, TN",SNM,46759,46759,100,79,127,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,46,1929247,"WINTER HAVEN, FL",NAT,44928,44928,100,79,250,0,N
FIRST NB OF PA,FNB CORP,47,379920,"GREENVILLE, PA",NAT,44861,44861,100,80,345,0,N
RAYMOND JAMES BK,RAYMOND JAMES FNCL,48,2193616,"SAINT PETERSBURG, FL",SMB,42145,41861,99,80,0,0,N
ASSOCIATED BK NA,ASSOCIATED BANC-CORP,49,917742,"GREEN BAY, WI",NAT,41171,41171,100,80,205,0,N
