Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,6,2182786,"NEW YORK, NY",SMB,558235,504533,90,48,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,487193,486726,100,55,257,1,N
STATE STREET B&TC,STATE STREET CORP,11,35301,"BOSTON, MA",SMB,348989,271681,78,58,2,10,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,12,541101,"NEW YORK, NY",SMB,335955,256121,76,60,1,15,Y
MORGAN STANLEY BK NA,MORGAN STANLEY,14,1456501,"SALT LAKE CITY, UT",NAT,230712,230712,100,62,0,0,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,15,491224,"RALEIGH, NC",SNM,223543,223474,100,63,540,0,N
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,16,2489805,"PURCHASE, NY",NAT,221306,221306,100,64,0,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,19,501105,"BUFFALO, NY",SMB,207556,207556,100,67,986,1,Y
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,21,1394676,"SANDY, UT",NAT,193062,193062,100,68,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,184461,184461,100,69,953,0,N
ALLY BK,ALLY FNCL,23,3284070,"SANDY, UT",SMB,181409,181409,100,70,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,164820,164820,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,26,210434,"CHICAGO, IL",SMB,154948,106510,69,72,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,145453,145453,100,73,0,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,28,722777,"WILMINGTON, DE",NAT,102701,102676,100,73,399,0,N
FLAGSTAR BK NA,FLAGSTAR FNCL,29,694904,"HICKSVILLE, NY",NAT,100132,100132,100,74,419,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,92193,92193,100,74,65,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,88775,88775,100,75,426,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,32,485559,"MEMPHIS, TN",SMB,81866,81866,100,75,418,0,N
WESTERN ALLI BK,WESTERN ALLI BC,33,3138146,"PHOENIX, AZ",SMB,80862,80862,100,75,37,0,N
COMERICA BK,COMERICA,34,60143,"DALLAS, TX",SMB,79332,78990,100,76,382,1,N
WEBSTER BK NA,WEBSTER FNCL CORP,35,761806,"STAMFORD, CT",NAT,78957,78957,100,76,196,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,75842,72371,95,76,96,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,62447,62447,100,77,229,0,N
CIBC BK USA,CIBC BC USA,38,1842065,"CHICAGO, IL",SMB,61517,61517,100,77,18,0,N
SYNOVUS BK,SYNOVUS FC,39,395238,"COLUMBUS, GA",SMB,60120,60120,100,77,243,0,N
OLD NB,OLD NAT BC,40,208244,"EVANSVILLE, IN",NAT,53245,53245,100,77,285,0,Y
FROST BK,CULLEN/FROST BKR,41,682563,"SAN ANTONIO, TX",SMB,52581,52581,100,78,206,0,N
PINNACLE BK,PINNACLE FNCL PTNR,42,2925666,"NASHVILLE, TN",SNM,52489,52489,100,78,138,0,N
