Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,7,2182786,"NEW YORK, NY",SMB,549188,472011,86,51,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,478877,478280,100,55,273,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,357477,262723,73,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,333667,249534,75,60,2,10,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,15,491224,"RALEIGH, NC",SNM,217724,217665,100,63,547,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,16,501105,"BUFFALO, NY",SMB,214668,214668,100,64,990,1,Y
MORGAN STANLEY BK NA,MORGAN STANLEY,18,1456501,"SALT LAKE CITY, UT",NAT,212723,212723,100,66,0,0,N
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,202824,202824,100,67,0,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,21,1394676,"SANDY, UT",NAT,189503,189503,100,69,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,185233,185230,100,70,966,0,N
ALLY BK,ALLY FNCL,23,3284070,"SANDY, UT",SMB,182369,182369,100,71,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,163070,163070,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,25,210434,"CHICAGO, IL",SMB,155573,113728,73,72,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,150307,150307,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,112840,112840,100,74,419,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,102184,102178,100,74,407,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,92425,92425,100,75,64,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,87060,87060,100,75,430,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,32,485559,"MEMPHIS, TN",SMB,81504,81504,100,76,419,0,N
COMERICA BK,COMERICA,33,60143,"DALLAS, TX",SMB,79513,79175,100,76,408,1,N
WESTERN ALLI BK,WESTERN ALLI BC,34,3138146,"PHOENIX, AZ",SMB,76954,76954,100,76,37,0,N
WEBSTER BK NA,WEBSTER FNCL CORP,35,761806,"STAMFORD, CT",NAT,76091,76091,100,77,196,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,70748,67408,95,77,99,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,60990,60990,100,77,229,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,59716,59716,100,77,245,0,N
CIBC BK USA,CIBC BC USA,39,1842065,"CHICAGO, IL",SNM,55048,55048,100,78,23,0,N
UMPQUA BK,COLUMBIA BKG SYS,40,143662,"LAKE OSWEGO, OR",SNM,52218,52218,100,78,294,0,N
