Bank Name,Holding Company,Rank,Bank ID,Location,Charter,Consol Assets ($M),Domestic Assets ($M),Domestic %,Cuml %,Branches Domestic,Branches Foreign,Foreign Exposure (Y/N)
GOLDMAN SACHS BK USA,GOLDMAN SACHS GROUP THE,6,2182786,"NEW YORK, NY",SMB,564359,490944,87,48,2,2,N
CAPITAL ONE NA,CAPITAL ONE FC,9,112837,"MC LEAN, VA",NAT,483857,483365,100,55,256,1,N
BANK OF NY MELLON,BANK OF NY MELLON CORP,11,541101,"NEW YORK, NY",SMB,348079,254970,73,59,1,15,Y
STATE STREET B&TC,STATE STREET CORP,12,35301,"BOSTON, MA",SMB,334336,245342,73,60,2,10,N
MORGAN STANLEY BK NA,MORGAN STANLEY,14,1456501,"SALT LAKE CITY, UT",NAT,224864,224864,100,62,0,0,N
FIRST-CITIZENS B&TC,FIRST CITIZENS BSHRS,15,491224,"RALEIGH, NC",SNM,220383,220318,100,63,541,0,N
MANUFACTURERS & TRADERS TC,M&T BK CORP,18,501105,"BUFFALO, NY",SMB,211332,211332,100,66,989,1,Y
MORGAN STANLEY PRIV BK NA,MORGAN STANLEY,19,2489805,"PURCHASE, NY",NAT,210223,210223,100,67,0,0,N
AMERICAN EXPRESS NB,AMERICAN EXPRESS CO,21,1394676,"SANDY, UT",NAT,192154,192154,100,69,0,0,N
KEYBANK NA,KEYCORP,22,280110,"CLEVELAND, OH",NAT,187221,187217,100,70,953,0,N
ALLY BK,ALLY FNCL,23,3284070,"SANDY, UT",SMB,182176,182176,100,70,0,0,N
HSBC BK USA NA,HSBC N AMER HOLDS,24,413208,"TYSONS, VA",NAT,163226,163225,100,71,20,3,Y
NORTHERN TC,NORTHERN TR CORP,26,210434,"CHICAGO, IL",SMB,155219,106216,68,73,55,4,Y
DISCOVER BK,DISCOVER FS,27,30810,"GREENWOOD, DE",SNM,149314,149314,100,73,0,0,N
FLAGSTAR BK NA,NEW YORK CMNTY BC,28,694904,"HICKSVILLE, NY",NAT,114307,114307,100,74,420,0,N
SANTANDER BK NA,SANTANDER HOLDS USA,29,722777,"WILMINGTON, DE",NAT,101733,101709,100,74,402,0,N
CITY NB,RBC US GRP HOLDS LLC,30,63069,"LOS ANGELES, CA",NAT,92111,92111,100,75,64,0,N
ZIONS BC NA,,31,276579,"SALT LAKE CITY, UT",NAT,87032,87032,100,75,430,0,N
FIRST HORIZON BK,FIRST HORIZON CORP,32,485559,"MEMPHIS, TN",SMB,82363,82363,100,75,418,0,N
WESTERN ALLI BK,WESTERN ALLI BC,33,3138146,"PHOENIX, AZ",SMB,79938,79938,100,76,37,0,N
COMERICA BK,COMERICA,34,60143,"DALLAS, TX",SMB,79753,79419,100,76,380,1,N
WEBSTER BK NA,WEBSTER FNCL CORP,35,761806,"STAMFORD, CT",NAT,79376,79376,100,76,196,0,N
EAST WEST BK,EAST WEST BC,36,197478,"PASADENA, CA",SMB,74349,70986,95,77,98,1,N
VALLEY NB,VALLEY NAT BC,37,229801,"PASSAIC, NJ",NAT,62089,62089,100,77,230,0,N
SYNOVUS BK,SYNOVUS FC,38,395238,"COLUMBUS, GA",SMB,59463,59463,100,77,246,0,N
CIBC BK USA,CIBC BC USA,39,1842065,"CHICAGO, IL",SNM,58902,58902,100,78,18,0,N
OLD NB,OLD NAT BC,40,208244,"EVANSVILLE, IN",NAT,53307,53307,100,78,285,0,Y
UMPQUA BK,COLUMBIA BKG SYS,41,143662,"LAKE OSWEGO, OR",SNM,51904,51904,100,78,296,0,N
FROST BK,CULLEN/FROST BKR,42,682563,"SAN ANTONIO, TX",SMB,51060,51060,100,78,202,0,N
PINNACLE BK,PINNACLE FNCL PTNR,43,2925666,"NASHVILLE, TN",SNM,50562,50562,100,78,137,0,N
BOKF NA,BOK FC,44,339858,"TULSA, OK",NAT,49908,49908,100,79,110,0,N
CADENCE BK,,45,606046,"TUPELO, MS",SNM,49205,49205,100,79,367,0,N
FIRST NB OF PA,FNB CORP,46,379920,"GREENVILLE, PA",NAT,47767,47767,100,79,348,0,N
UMB BK NA,UMB FC,47,936855,"KANSAS CITY, MO",NAT,47230,47230,100,79,90,0,N
SOUTHSTATE BK NA,SOUTHSTATE CORP,48,1929247,"WINTER HAVEN, FL",NAT,46072,46072,100,80,250,0,N
ASSOCIATED BK NA,ASSOCIATED BANC-CORP,49,917742,"GREEN BAY, WI",NAT,42161,42161,100,80,187,0,N
RAYMOND JAMES BK,RAYMOND JAMES FNCL,50,2193616,"SAINT PETERSBURG, FL",SMB,41637,41265,99,80,0,0,N
BARCLAYS BK DE,BARCLAYS US LLC,51,2980209,"WILMINGTON, DE",SNM,41250,41250,100,80,0,0,N
PROSPERITY BK,PROSPERITY BSHRS,52,664756,"EL CAMPO, TX",SNM,40114,40114,100,80,300,0,N
DEUTSCHE BK TC AMERICAS,DB USA CORP,53,214807,"NEW YORK, NY",SMB,39861,39861,100,80,0,0,N
EVERBANK NA,EVERBANK FNCL CORP,54,2735146,"JACKSONVILLE, FL",NAT,39856,39856,100,81,9,0,N
BANK OZK,,55,107244,"LITTLE ROCK, AR",SNM,37442,37442,100,81,230,0,N
BANKUNITED NA,BANKUNITED,56,3938186,"MIAMI LAKES, FL",NAT,35758,35758,100,81,55,0,N
HANCOCK WHITNEY BK,HANCOCK WHITNEY CORP,57,463735,"GULFPORT, MS",SNM,35214,35214,100,81,183,0,N
T D BK USA NA,TD GRP US HOLDS LLC,58,2121196,"WILMINGTON, DE",NAT,34219,34219,100,81,0,0,N
BANC OF CA,BANC OF CA,59,494261,"LOS ANGELES, CA",SMB,33345,33345,100,81,80,0,N
FULTON BK NA,FULTON FNCL CORP,60,474919,"LANCASTER, PA",NAT,32060,32060,100,82,229,0,N
FIRST NB OF OMAHA,LAURITZEN CORP,61,527954,"OMAHA, NE",NAT,31860,31860,100,82,119,0,N
TEXAS CAP BK,TEXAS CAP BSHRS,62,2618780,"DALLAS, TX",SNM,31489,31489,100,82,10,0,N
COMMERCE BK,COMMERCE BSHRS,63,601050,"KANSAS CITY, MO",SMB,31340,31340,100,82,141,0,N
BNY MELLON NA,BANK OF NY MELLON CORP,64,934329,"PITTSBURGH, PA",NAT,29937,29937,100,82,0,0,N
UNITED BK,UNITED BSHRS,65,365325,"FAIRFAX, VA",SMB,29769,29769,100,82,217,0,N
FIRST INTRST BK,FIRST INTRST BANCSYSTEM,66,659855,"BILLINGS, MT",SMB,29532,29532,100,82,298,0,N
SOFI BK NA,SOFI TECHS,67,962966,"COTTONWOOD HEIGHTS, UT",NAT,29265,29265,100,82,3,0,N
GLACIER BK,GLACIER BC,68,2634191,"KALISPELL, MT",SNM,28188,28188,100,83,213,0,N
WASHINGTON FED BK,WAFD,69,656377,"SEATTLE, WA",SNM,28050,28050,100,83,210,0,N
FIRSTBANK,REISHER FAM FOUND,70,288853,"LAKEWOOD, CO",SMB,27333,27333,100,83,100,0,N
UNITED CMNTY BK,UNITED CMNTY BK,71,1017939,"GREENVILLE, SC",SMB,27304,27304,100,83,191,0,N
SIMMONS BK,SIMMONS FIRST NAT CORP,72,663245,"PINE BLUFF, AR",SMB,27233,27233,100,83,241,0,N
ARVEST BK,ARVEST BK GRP,73,311845,"FAYETTEVILLE, AR",SMB,26691,26691,100,83,224,0,N
AMERIS BK,AMERIS BC,74,764030,"ATLANTA, GA",SNM,26308,26308,100,83,164,0,N
CITY NB OF FL,BCI FNCL GRP,75,814430,"MIAMI, FL",NAT,26189,26189,100,83,29,0,N
EASTERN BK,EASTERN BSHRS,76,128904,"BOSTON, MA",SNM,25493,25493,100,84,109,0,N
ATLANTIC UNION BK,ATLANTIC UNION BSHRS CORP,77,693224,"RICHMOND, VA",SMB,24686,24686,100,84,129,0,N
